qpc,native_working_set_bytes,wrapper_working_set_bytes,aggregate_working_set_bytes
1480104551749,308199424,80625664,388825088
1480104707280,309596160,80625664,390221824
1480104863086,309596160,80625664,390221824
1480104914251,309608448,80629760,390238208
1480105017264,309608448,80625664,390234112
1480105173380,309608448,80625664,390234112
1480105328068,309608448,80625664,390234112
1480105484173,309608448,80625664,390234112
1480105638409,309608448,80625664,390234112
1480105793501,309608448,80625664,390234112
1480105949576,309608448,80625664,390234112
1480106103938,309608448,80625664,390234112
1480106259243,309608448,80625664,390234112
1480106415093,309608448,80625664,390234112
1480106569542,309608448,80625664,390234112
1480106724766,309608448,80625664,390234112
1480106880435,309608448,80625664,390234112
1480107035288,309608448,80625664,390234112
1480107190507,309608448,80625664,390234112
1480107346326,309608448,80625664,390234112
1480107500753,309608448,80625664,390234112
1480107656963,309608448,80625664,390234112
1480107812344,309608448,80625664,390234112
1480107971990,309608448,80625664,390234112
1480108128384,309608448,80625664,390234112
1480108282256,309608448,80625664,390234112
1480108439200,309608448,80625664,390234112
1480108589250,309608448,80625664,390234112
1480108745518,309608448,80625664,390234112
1480108900503,309608448,80625664,390234112
1480109055762,309608448,80625664,390234112
1480109210984,309608448,80625664,390234112
1480109370617,308662272,80625664,389287936
1480109526478,309649408,80625664,390275072
1480109682139,309649408,80625664,390275072
1480109717757,309673984,80629760,390303744
1480109838448,309673984,80625664,390299648
1480109991407,309673984,80625664,390299648
1480110148077,309673984,80625664,390299648
1480110303667,309673984,80625664,390299648
1480110459902,309673984,80625664,390299648
1480110615092,309673984,80625664,390299648
1480110767937,309673984,80625664,390299648
1480110922195,309673984,80625664,390299648
1480111075439,309673984,80625664,390299648
1480111231463,309673984,80625664,390299648
1480111386128,309673984,80625664,390299648
1480111542754,309673984,80625664,390299648
1480111697796,309673984,80625664,390299648
1480111852255,309673984,80625664,390299648
1480112005717,309673984,80625664,390299648
1480112163332,309673984,80625664,390299648
1480112314028,309673984,80625664,390299648
1480112473505,309673984,80625664,390299648
1480112627709,309673984,80625664,390299648
1480112781854,309673984,80625664,390299648
1480112938609,309673984,80625664,390299648
1480113094613,309673984,80625664,390299648
1480113249498,309673984,80625664,390299648
1480113411511,309673984,80625664,390299648
1480113571741,309673984,80625664,390299648
1480113726544,309673984,80625664,390299648
1480113881800,309673984,80625664,390299648
1480114036036,309673984,80625664,390299648
1480114191817,308436992,80625664,389062656
1480114346635,309768192,80625664,390393856
1480114503167,309768192,80625664,390393856
1480114560267,309780480,80629760,390410240
1480114657898,309780480,80625664,390406144
1480114812997,309780480,80625664,390406144
1480114973037,309780480,80625664,390406144
1480115128809,309780480,80625664,390406144
1480115283265,309780480,80625664,390406144
1480115438422,309780480,80625664,390406144
1480115593467,309780480,80625664,390406144
1480115749400,309780480,80625664,390406144
1480115902322,309780480,80625664,390406144
1480116058317,309780480,80625664,390406144
1480116212263,309780480,80625664,390406144
1480116367970,309780480,80625664,390406144
1480116522783,309780480,80625664,390406144
1480116679035,309780480,80625664,390406144
1480116835002,309780480,80625664,390406144
1480116989725,309780480,80625664,390406144
1480117142459,309780480,80625664,390406144
1480117296556,309780480,80625664,390406144
1480117452145,309780480,80625664,390406144
1480117607873,309780480,80625664,390406144
1480117760110,309780480,80625664,390406144
1480117913461,309780480,80625664,390406144
1480118074586,309780480,80625664,390406144
1480118230951,309780480,80625664,390406144
1480118386132,309780480,80625664,390406144
1480118540590,309780480,80625664,390406144
1480118696659,309780480,80625664,390406144
1480118851866,309780480,80625664,390406144
1480119008095,308563968,80625664,389189632
1480119162843,309850112,80625664,390475776
1480119318014,309850112,80625664,390475776
1480119358881,310108160,80629760,390737920
1480119472893,310108160,80625664,390733824
1480119629357,310108160,80625664,390733824
1480119783457,310108160,80625664,390733824
1480119939221,310108160,80625664,390733824
1480120095796,310108160,80625664,390733824
1480120250732,310108160,80625664,390733824
1480120405454,310108160,80625664,390733824
1480120560825,310108160,80625664,390733824
1480120716755,310108160,80625664,390733824
1480120870992,310108160,80625664,390733824
1480121026771,310108160,80625664,390733824
1480121182675,310108160,80625664,390733824
1480121337234,310108160,80625664,390733824
1480121492333,310108160,80625664,390733824
1480121647367,310108160,80625664,390733824
1480121809058,310108160,80625664,390733824
1480121958087,310108160,80625664,390733824
1480122112952,310108160,80625664,390733824
1480122273295,310108160,80625664,390733824
1480122427442,310108160,80625664,390733824
1480122582543,310108160,80625664,390733824
1480122738129,310108160,80625664,390733824
1480122892553,310108160,80625664,390733824
1480123043723,310108160,80625664,390733824
1480123199095,310108160,80625664,390733824
1480123353438,310108160,80625664,390733824
1480123507880,310108160,80625664,390733824
1480123663148,310108160,80625664,390733824
1480123816782,309518336,80625664,390144000
1480123973386,309923840,80625664,390549504
1480124128236,309923840,80625664,390549504
1480124183894,309948416,80629760,390578176
1480124283457,309948416,80625664,390574080
1480124438765,309948416,80625664,390574080
1480124592629,309948416,80625664,390574080
1480124748849,309948416,80625664,390574080
1480124903030,309948416,80625664,390574080
1480125058556,309948416,80625664,390574080
1480125213626,309948416,80625664,390574080
